Data,Zamkniecie,Change,Gain
2017-04-28,61644.56,0.9985867899526661,0
2017-05-02,62066.66,1.0068473195363874,1
2017-05-04,61862.8,0.9967154668867312,0
2017-05-05,61831.4,0.999492425173125,0
2017-05-08,61687.05,0.9976654256575138,0
2017-05-09,62336.39,1.010526358449626,1
2017-05-10,61839.91,0.9920354707739734,0
2017-05-11,61598.78,0.9961007381802464,0
2017-05-12,61595.38,0.9999448041016397,0
2017-05-15,61795.32,1.0032460226724798,1
2017-05-16,61000.25,0.9871338153115803,0
2017-05-17,60133.08,0.985784156622309,0
2017-05-18,59901.12,0.9961425558112107,0
2017-05-19,60739.95,1.0140035778963732,1
2017-05-22,61024.86,1.0046906525277022,1
2017-05-23,60407.7,0.9898867445169066,0
2017-05-24,60812.49,1.0067009669297127,1
2017-05-25,61536.22,1.011901009151245,1
2017-05-26,60907.75,0.9897869904911286,0
2017-05-29,60859.28,0.9992042063612594,0
2017-05-30,60344.58,0.9915427852580576,0
2017-05-31,60092.07,0.9958155314031517,0
2017-06-01,60181.96,1.0014958712522302,1
2017-06-02,60754.42,1.0095121528112412,1
2017-06-05,60179.36,0.9905346804397113,0
2017-06-06,60723.47,1.0090414720262895,1
2017-06-07,60752.25,1.000473951834439,1
2017-06-08,61312.68,1.0092248435243139,1
2017-06-09,61181.57,0.9978616168792491,0
2017-06-12,60354.56,0.9864826940531274,0
2017-06-13,60518.24,1.0027119740413981,1
2017-06-14,60381.07,0.9977334106213268,0
2017-06-16,60481.07,1.0016561481934654,1
2017-06-19,61048.15,1.0093761568702406,1
2017-06-20,60841.94,0.9966221744639273,0
2017-06-21,61162.22,1.0052641319458255,1
2017-06-22,60987.33,0.997140555068145,0
2017-06-23,60982.19,0.999915720199589,0
2017-06-26,61701.57,1.011796558962543,1
2017-06-27,61915.09,1.003460527827736,1
2017-06-28,61411.73,0.9918701563706038,0
2017-06-29,61475.96,1.0010458913956666,1
2017-06-30,61018.36,0.9925564399482334,0
2017-07-03,61392.77,1.0061360220104243,1
2017-07-04,60728.12,0.9891738066225063,0
2017-07-05,60936.64,1.0034336646680317,1
2017-07-06,60869.83,0.9989036152961502,0
2017-07-07,60707.52,0.9973334901707462,0
2017-07-10,60829.24,1.0020050234303757,1
2017-07-11,60700.46,0.9978829260401741,0
2017-07-12,61601.72,1.0148476634279213,1
2017-07-13,62018.68,1.006768642174277,1
2017-07-14,62127.72,1.0017581799548136,1
2017-07-17,62537.74,1.0065996305674825,1
2017-07-18,62331.5,0.996702151372915,0
2017-07-19,62533.46,1.0032400952969205,1
2017-07-20,62269.72,0.9957824179247399,0
2017-07-21,61979.52,0.9953396289560961,0
