Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-05-12,62001.06,62482.29,61422.04,61595.38,385274274
2017-05-19,61975.93,61975.93,59143.38,60739.95,290226939
2017-05-26,60923.81,61602.24,60155.31,60907.75,236665832
2017-06-02,60918.1,60983,59881.34,60754.42,239844000
2017-06-09,60768.63,61631.76,59859.02,61181.57,222429781
2017-06-16,61044.81,61113.58,60173.4,60481.07,158312215
2017-06-23,60833.96,61258.94,60389.37,60982.19,184400465
2017-06-30,61386.3,62096.24,60910.57,61018.36,193133689
2017-07-07,61126.43,61392.77,60645.26,60707.52,128121738
2017-07-14,61047.43,62127.72,60619.69,62127.72,182260017
2017-07-21,62342.01,62761.44,62241.91,62533.46,103787486
